source_ip,destination_ip,protocol,port,domain,risk
2600:9000:24ba:4000:1:5a19:8b40:93a1,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,56952,,unknown
2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,2600:1406:4c00:18d::11a6,TCP,443,,low
2600:1406:4c00:18d::11a6,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,58610,,unknown
2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,2600:1406:5e00:49::17ce:e5a4,TCP,443,,low
2600:1406:5e00:49::17ce:e5a4,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,58612,,unknown
2001:1998:f00:2::1,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,UDP,56844,dsadata.intel.com,unknown
2001:1998:f00:2::1,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,UDP,55458,dsadata.intel.com,unknown
2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,2600:1406:bc00:11::b81c:4e94,TCP,443,,low
2600:1406:bc00:11::b81c:4e94,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,58977,,unknown
2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,2a13:1ec0::1037,TCP,443,,low
2a13:1ec0::1037,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,58674,,unknown
2a02:6b8:a::a,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,54119,,unknown
2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,2a04:4e42:11::396,TCP,443,,low
2a04:4e42:11::396,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,53938,,unknown
2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,2600:9000:24b9:9400:4:b37b:9440:93a1,TCP,443,,low
2600:9000:24b9:9400:4:b37b:9440:93a1,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,58693,,unknown
2607:f8b0:4007:814::200e,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,57590,,unknown
2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,2a02:6ea0:c800::25,TCP,443,,low
2a02:6ea0:c800::25,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,58694,,unknown
2a02:6b8::90,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,57574,,unknown
2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,2a04:4e42:87::396,TCP,443,,low
2a04:4e42:87::396,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,55683,,unknown
2a04:4e42:87::714,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,57622,,unknown
2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,2607:f8b0:4007:818::200a,TCP,443,,low
2607:f8b0:4007:818::200a,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,57597,,unknown
2607:f8b0:4007:814::200e,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,57584,,unknown
2a04:4e42:87::714,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,53919,,unknown
2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,2600:1406:5e00:4a::17ce:e586,TCP,443,,low
2600:1406:5e00:4a::17ce:e586,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,57895,,unknown
2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,2600:1901:1:7c5::,TCP,443,,low
2600:1901:1:7c5::,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,58717,,unknown
2600:1406:5e00:4a::17ce:e586,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,57896,,unknown
2a04:4e42:11::396,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,54010,,unknown
2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,2620:1ec:33::10,TCP,443,,low
2620:1ec:33::10,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,57471,,unknown
2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,2607:f8b0:4002:c0f::5e,UDP,443,,low
2607:f8b0:4002:c0f::5e,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,UDP,64034,,unknown
2607:f8b0:4002:c0f::5e,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,UDP,57990,,unknown
2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,2600:9000:265c:200:1:9777:c740:21,TCP,443,,low
2600:9000:265c:200:1:9777:c740:21,2603:8000:6242:8d00:ed92:8a08:3ff0:3e6f,TCP,57523,,unknown
