[INFO] 2025-06-10 07:47:04,025 - [+] Capture complete: C:\Users\Dr.Yasser\Documents\Project4\BootConPythonPrject\cap_int.pcap
[WARNING] 2025-06-10 07:47:16,800 - [!] Geolocation error for 192.168.0.18 or 63.140.37.142: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:16,800 - [!] Geolocation error for 63.140.37.142 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:16,953 - [!] Geolocation error for 44.214.75.226 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:16,957 - [!] Geolocation error for 192.168.0.18 or 44.214.75.226: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:17,316 - [!] Geolocation error for 88.212.201.204 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:17,316 - [!] Geolocation error for 192.168.0.18 or 88.212.201.204: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:17,317 - [!] Geolocation error for 192.168.0.10 or 192.168.0.255: The address 192.168.0.255 is not in the database.
[WARNING] 2025-06-10 07:47:20,421 - [!] Geolocation error for 192.168.0.18 or 35.167.148.155: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:20,422 - [!] Geolocation error for 35.167.148.155 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:20,771 - [!] Geolocation error for 192.168.0.18 or 146.75.94.217: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:20,771 - [!] Geolocation error for 146.75.94.217 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:20,775 - [!] Geolocation error for 192.168.0.18 or 52.43.70.138: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:20,776 - [!] Geolocation error for 52.43.70.138 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:21,605 - [!] Geolocation error for 192.168.0.18 or 38.248.91.213: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:21,606 - [!] Geolocation error for 192.168.0.18 or 52.38.239.33: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:21,607 - [!] Geolocation error for 52.38.239.33 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:21,607 - [!] Geolocation error for 38.248.91.213 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:21,609 - [!] Geolocation error for 192.168.0.18 or 52.205.196.148: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:21,610 - [!] Geolocation error for 192.168.0.18 or 52.8.114.4: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:21,611 - [!] Geolocation error for 52.8.114.4 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:21,614 - [!] Geolocation error for 52.205.196.148 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:21,614 - [!] Geolocation error for 52.38.239.33 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:21,619 - [!] Geolocation error for 192.168.0.18 or 23.83.76.65: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:21,619 - [!] Geolocation error for 23.83.76.65 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:21,623 - [!] Geolocation error for 192.168.0.18 or 23.45.41.180: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:21,624 - [!] Geolocation error for 23.45.41.180 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:21,625 - [!] Geolocation error for 192.168.0.18 or 35.162.245.241: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:21,736 - [!] Geolocation error for 35.162.245.241 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:22,066 - [!] Geolocation error for 192.168.0.18 or 137.74.125.156: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:22,427 - [!] Geolocation error for fe80::425d:82ff:feee:c9b2 or ff02::1: The address ff02::1 is not in the database.
[WARNING] 2025-06-10 07:47:22,429 - [!] Geolocation error for 192.168.0.18 or 18.200.182.178: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:22,430 - [!] Geolocation error for 137.74.125.156 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:22,574 - [!] Geolocation error for 18.200.182.178 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:22,576 - [!] Geolocation error for 192.168.0.18 or 146.75.93.44: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:22,577 - [!] Geolocation error for 146.75.93.44 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:22,988 - [!] Geolocation error for 146.75.93.44 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:22,992 - [!] Geolocation error for 192.168.0.18 or 141.226.224.32: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:22,993 - [!] Geolocation error for 104.254.148.252 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:23,389 - [!] Geolocation error for 192.168.0.18 or 52.203.163.130: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:23,390 - [!] Geolocation error for 141.226.224.32 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:23,391 - [!] Geolocation error for 192.168.0.18 or 34.198.238.217: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:23,392 - [!] Geolocation error for 18.200.182.178 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:23,557 - [!] Geolocation error for 52.203.163.130 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:23,665 - [!] Geolocation error for 34.198.238.217 or 192.168.0.18: The address 192.168.0.18 is not in the database.
